특허명,출원일자,등록일자,출원국
파장변환 및 클락 추출 방법,2006-07-24,2007-10-02,미국
사용자 및 디바이스 기반의 도메인 관리 방법 및 그 장치,2007-09-19,2013-09-10,미국
대기상태 전원 및 구동전압 제어기 및 그를 이용한 고주파 이동통신 송수신 회로 및 시스템,2006-06-26,2010-10-26,미국
정보보호를 위한 알에프아이디 시스템 및 방법,2006-11-03,2009-09-22,미국
무선 휴대 인터넷 시스템에서 채널 모드간 전환 방법,2006-11-22,2011-06-14,미국
ＭＩＭＯ－ＯＦＤＭ 시스템에서 타이밍 에러와 주파수 오프셋을 추정하는 방법 및 그 장치,2006-12-11,2010-08-17,미국
이동통신 시스템에서의 상향 링크 자원 요청 및 스케줄링 방법,2008-02-26,2013-01-29,미국
무선 휴대 인터넷 시스9템에서의 단말 보안 관련 파라미터 협상 방법,2008-04-09,2014-02-18,미국
급격한 MIT 소자를 이용한 온도센서 및 그 센서를 포함한 경보기,2006-02-17,2007-07-25,대한민국
이동통신 시스템에서 일정 시간 간격으로 가변 크기의 패킷을 발생하는 트래픽을 위한 상향 링크 스케줄링 방법,2008-04-04,2012-01-17,미국
태깅된 도메인 코퍼스 없이 새로운 도메인에 적용 가능한 통계적 HMM 품사 태깅 장치 및  방법,2006-06-22,2007-12-05,대한민국
이중 차동입력쌍 트랜스컨덕터를 구비한 가변이득증폭기 설계,2006-08-25,2008-06-24,미국
"아리아 암/복호화 장치, 그 방법 및 이를 위한 초기 키생성 방법",2006-12-06,2011-04-26,미국
서비스 플로우 식별자를 분산 관리하는 무선 통신 시스템 및 그 시스템에서의 서비스 플로우 식별자 관리 방법,2005-12-10,2013-09-30,대한민국
사마륨 실리사이드를 이용한 쇼트키 장벽 트랜지스터 제작,2006-07-13,2009-06-09,미국
무선채널 측정 시스템에서의 송/수신 동기화 장치 및 그 방법,2005-12-01,2006-10-12,대한민국
예상도달시간정보를 이용한 이동체의 실시간 위치추적 방법,2008-07-30,2012-01-24,미국
고에너지 효율 내장형 프로세스 구조,2006-09-13,2010-09-28,미국
OFDM 방식의 이동통신 기지국을 위한 스마트 안테나 알고리즘 및 장치,2006-12-01,2009-01-13,미국
ＭＣ－ＣＤＭＡ 통신 시스템의 기지국에서 주파수 차원 확산 부호 할당 방법,2008-06-10,2012-11-06,미국
가변이득증폭기,2006-08-01,2008-03-25,미국
다중 안테나를 갖는 스마트 안테나 시스템의 기지국 신호 감시 장치 및 방법,2008-05-23,2012-05-22,미국
직교 주파수 분할 다중화 방식의 무선 시스템에서 디지털/아날로그 변환에 의한 고주파 왜곡 현상의 보상 장치 및 그 방법,2006-09-27,2011-04-19,미국
무선랜 환경에서의 매체접속 방법,2006-09-29,2008-01-24,대한민국
휴대형 이동 통신 단말기의 배터리 모듈 결합용 접촉 단자를 활용하여 단말기 다기능 장치를 부가하는 적층형 연결 구조 및 통신 방법,2006-12-11,2010-12-28,미국
상황 인식 시스템을 위한 OSGi 기반 동적 서비스  관리 방법,2006-08-14,2009-01-29,대한민국
액티브-매트릭스 전계 방출 디스플레이 및 그 구동 방법,2008-06-06,2011-11-08,미국
액티브-매트릭스 전계 방출 디스플레이 및 그 구동 방법,2011-09-23,2013-03-05,미국
휴대 인터넷 시스템에서 단말 장치의 대역폭 관리 방법,2006-12-11,2011-04-19,미국
반도체 레이저가 내장된 상변화형 반도체 메모리 소자구조 및 그 제작 방법,2006-12-07,2008-08-26,미국
유한한 최대 전송거리를 가지는 WDM 망에서 제한된 파장 변환 범위를 가지는 3R 파장 변환기의 배치 방법과 3R 파장변환기 사용 최소화를 위한 파장할당 방법,2006-12-04,2010-03-09,미국
